"ID","CHANNEL","DUCK","GAIN","LOOP","STOP","NAME","FNAME"
"0x0001",0,80,50,100,0,"stary","0x0001-bttf_a27.ogg"
"0x0002",0,80,40,100,0,"music 0 back in time","0x0002-back_in_time.ogg"
"0x0003",0,80,40,100,0,"music 1 overature part 2","0x0003-overature_2_loop.ogg"
"0x0004",0,80,40,100,0,"music loop overature intro","0x0004-back_to_the_future_intro.ogg"
"0x0007",0,80,40,100,0,"music 2 johnny b goode","0x0007-johnny_b_goode.ogg"
"0x0008",0,80,40,100,0,"power of love","0x0008-power_of_love.ogg"
"0x0009",0,80,40,100,0,"music 3 overature intense","0x0009-overature_intense_loop.ogg"
"0x000A",0,80,50,0,0,"power up lightning extreme back to the future music 3","0x0015-thunder_intense_overager_loop.ogg"
"0x000B",0,80,40,100,0,"music 3 overature intense","0x000B-night_train.ogg"
"0x000B",0,80,40,100,0,"music 3 overature intense","0x0007-johnny_b_goode.ogg"
"0x000D",0,80,40,0,0,"power up lightning extreme back to the future music 3","0x0015-thunder_intense_overager_loop.ogg"
"0x000E",0,80,40,0,0,"power up lightning extreme back to the future music 3","0x0015-thunder_intense_overager_loop.ogg"
"0x000F",0,80,50,0,0,"anticipation loop","0x000F-bttf_a27.ogg"
"0x0014",0,80,50,0,0,"ba da da lightning bttf music 3","0x0015-thunder_intense_overager_loop.ogg"
"0x0015",0,80,45,0,0,"jackpot thunder and music 3","0x0015-thunder_intense_overager_loop.ogg"
"0x0016",0,80,40,100,0,"music 4 back to the future","0x0016-back_to_the_future_main.ogg"
"0x0018",0,80,50,0,0,"intro dings 1","0x0018-bttf_a27.ogg"
"0x0019",0,80,50,0,0,"intro dings 2","0x0019-bttf_a27.ogg"
"0x0020",1,80,50,0,0,"gonna see some serius shit","0x0020-calculations_are_correct.ogg"
"0x001A",0,80,50,0,0,"intro dings 3","0x001A-bttf_a27.ogg"
"0x001B",0,80,50,0,0,"intro dings 123","0x001B-bttf_a27.ogg"
"0x0040",1,80,50,0,0,"you gotta come back with me","0x0040-bttf_a27.ogg"
"0x0041",1,80,50,0,0,"back to the future","0x0041-bttf_a27.ogg"
"0x0042",1,80,50,0,0,"delorian screetch and rev","0x0042-delorian_screetch_rev.ogg"
"0x0043",,80,50,0,0,"thunder2","0x0043-thunder2.ogg"
"0x0044",1,80,50,0,0,"where","0x0044-bttf_a27.ogg"
"0x0045",1,80,50,0,0,"hello anybody home","0x0045-hello_anybody_home.ogg"
"0x0045",1,80,50,0,0,"make like a tree","0x004B-make_like_a_tree.ogg"
"0x0046",1,80,50,0,0,"slacker","0x0046-slacker.ogg"
"0x0046",1,80,50,0,0,"pepsi","0x0046-pepsi.ogg"
"0x0047",1,80,50,0,0,"go for the jackpots","0x0047-bttf_a27.ogg"
"0x0048",1,80,50,0,0,"a severe thunderstorm is heading for hill valley","0x0048-bttf_a27.ogg"
"0x0049",1,80,50,0,0,"ahh","0x0049-bttf_a27.ogg"
"0x004A",1,80,50,0,0,"yeaha","0x004A-bttf_a27.ogg"
"0x004A",1,80,50,0,0,"if you put your mind to it","0x004A-put_your_mind_to_it.ogg"
"0x004B",1,80,50,0,0,"what are you lookin at butthead","0x004B-butthead.ogg"
"0x004B",1,80,50,0,0,"make like a tree and get outta here","0x004B-make_like_a_tree.ogg"
"0x004C",1,80,50,0,0,"hey you get your damn hands off her","0x004C-hey_you_damn_hands.ogg"
"0x004C",1,80,80,0,0,"jesus christ doc","0x004C-jesus_christ_doc.ogg"
"0x004D",1,80,50,0,0,"you future is whatever you make it","0x004D-bttf_a27.ogg"
"0x004E",1,80,50,0,0,"so make it a good one","0x004E-bttf_a27.ogg"
"0x004F",1,80,50,0,0,"1 million jigawatts","0x004F-one_pint_twentyone_jigawatts.ogg"
"0x0050",1,80,50,0,0,"roads","0x0050-bttf_a27.ogg"
"0x0051",1,80,50,0,0,"delorian screetch and rev","0x0042-delorian_screetch_rev.ogg"
"0x0052",1,80,50,0,0,"delorian screetch and rev","0x0042-delorian_screetch_rev.ogg"
"0x0053",1,80,50,0,0,"zipz","0x008B-bttf_a27.ogg"
"0x0054",1,80,50,0,0,"lightning","0x0054-thunder.ogg"
"0x0055",1,80,50,0,0,"great scott","0x0055-bttf_a27.ogg"
"0x0056",1,80,50,0,0,"where were going we dont need","0x0056-bttf_a27.ogg"
"0x0057",1,80,50,0,0,"roads","0x0057-bttf_a27.ogg"
"0x0058",1,80,50,0,0,"what are you looking at butthead","0x004B-butthead.ogg"
"0x0058",1,80,50,0,0,"how could I have been so careless","0x0058-so_careless.ogg"
"0x0059",1,80,50,0,0,"gotta get back in time","0x0059-bttf_a27.ogg"
"0x005A",1,80,50,0,0,"gotta get back in ti","0x005A-bttf_a27.ogg"
"0x005B",1,80,50,0,0,"roads where were going we dont need roads","0x005B-bttf_a27.ogg"
"0x005C",1,80,50,0,0,"hello","0x005C-bttf_a27.ogg"
"0x005D",1,80,50,0,0,"delorian screetch and rev","0x0042-delorian_screetch_rev.ogg"
"0x0070",,80,60,0,0,"zing0","0x0070-bttf_a27.ogg"
"0x0071",,80,60,0,0,"zing1","0x0071-bttf_a27.ogg"
"0x0072",,80,60,0,0,"zing2","0x0072-bttf_a27.ogg"
"0x0073",,80,60,0,0,"zing3","0x0073-bttf_a27.ogg"
"0x0074",,80,60,0,0,"zing4","0x0074-bttf_a27.ogg"
"0x0075",,80,50,0,0,"drum beat","0x0075-bttf_a27.ogg"
"0x0076",,80,50,0,0,"space vibe","0x0076-bttf_a27.ogg"
"0x0077",,80,50,0,0,"horn honk","0x0077-bttf_a27.ogg"
"0x0080",,80,50,0,0,"space chimes1","0x0080-bttf_a27.ogg"
"0x0081",,80,50,0,0,"zip1","0x0081-bttf_a27.ogg"
"0x0082",,80,50,0,0,"zip2","0x0082-bttf_a27.ogg"
"0x0083",,80,50,0,0,"space chimes2","0x0083-bttf_a27.ogg"
"0x0084",,80,50,0,0,"space boing1","0x0084-bttf_a27.ogg"
"0x0085",,80,50,0,0,"space boing2","0x0085-bttf_a27.ogg"
"0x0086",,80,50,0,0,"space whawha","0x008A-bttf_a27.ogg"
"0x0087",,80,50,0,0,"tap","0x0087-bttf_a27.ogg"
"0x0088",1,80,50,0,0,"bell gong 1","0x0088-bttf_a27.ogg"
"0x0089",,80,50,0,0,"ting1","0x0089-bttf_a27.ogg"
"0x008A",,80,50,0,0,"space zip","0x008A-bttf_a27.ogg"
"0x008B",,80,50,0,0,"space blarg","0x008B-bttf_a27.ogg"
"0x008C",,80,50,0,0,"ting2","0x008C-bttf_a27.ogg"
"0x008D",,80,50,0,0,"space zwing","0x008D-bttf_a27.ogg"
"0x008E",,80,50,0,0,"laser lightning","0x0043-thunder2.ogg"
"0x008F",,80,50,0,0,"laser lightning 2","0x0043-thunder2.ogg"
"0x0090",,80,50,0,0,"riff 1","0x0090-bttf_a27.ogg"
"0x0091",,80,50,0,0,"bell gong 2","0x0091-bttf_a27.ogg"
"0x0092",,80,50,0,0,"bell gong 3","0x0092-bttf_a27.ogg"
"0x0093",,80,50,0,0,"phone ring","0x0093-bttf_a27.ogg"
"0x00A4",,80,50,0,0,"last lightning 3","0x0043-thunder2.ogg"
"0x00A5",1,80,50,100,0,"growing excitment","0x00A5-bttf_a27.ogg"
"0x00A6",,80,50,0,0,"laser blarg","0x00A6-bttf_a27.ogg"
"0x00AA",,80,50,0,0,"dead blarg","0x00AA-bttf_a27.ogg"
"0x00AC",,80,50,0,0,"laser charge","0x00AC-bttf_a27.ogg"
"0x00AD",1,80,50,100,0,"ready to blow","0x00AD-bttf_a27.ogg"
"0x00AE",,80,50,0,0,"dzing dzing","0x0092-bttf_a27.ogg"
"0x00AF",,80,50,0,0,"wind down","0x00AF-bttf_a27.ogg"
"0x00B0",,80,50,0,0,"wind down bong","0x00AF-bttf_a27.ogg"
"0x00B1",,80,50,0,0,"charge lightning","0x0043-thunder2.ogg"
"0x00B2",,80,50,0,0,"baziiing","0x00B2-bttf_a27.ogg"
"0x00B3",,80,50,0,0,"walalalaling","0x00B3-bttf_a27.ogg"
"0x00B4",1,80,50,100,0,"excitment","0x00B4-bttf_a27.ogg"
"0x00B5",,80,50,0,0,"laser gun","0x00B5-bttf_a27.ogg"
"0x00B6",,80,50,0,0,"lightning accomplishment","0x00B6-bttf_a27.ogg"
"0x00B7",0,80,70,0,0,"88mph intense loop","0x00B7-88mph_overature_intense_loop.ogg"
"0x00B8",,80,50,0,0,"wind down ehah","0x00B8-bttf_a27.ogg"
"0x00B9",,80,50,0,0,"laser fizzle","0x00B9-bttf_a27.ogg"
"0x00BA",,80,50,0,0,"accomplishment","0x00BA-bttf_a27.ogg"
"0x00BB",,80,50,0,0,"laser hit","0x00BB-bttf_a27.ogg"
"0x00BC",,80,50,0,0,"thunder2","0x0043-thunder2.ogg"
"0x00BD",,80,50,0,0,"thunder2","0x0043-thunder2.ogg"
"0x00BE",,80,50,0,0,"thunder2","0x0043-thunder2.ogg"
"0x00BF",,80,50,0,0,"zip","0x00BF-bttf_a27.ogg"
"0x00C0",0,80,50,100,0,"laser with music 4","0x00C0-bttf_a27.ogg"
"0x00CE",,80,50,0,0,"build up to lightning","0x0043-thunder2.ogg"
"0x00D0",,80,50,0,0,"hidden message","0x00D0-bttf_a27.ogg"
"0x00D1",,80,50,0,0,"lightning","0x0043-thunder2.ogg"
"0x00D2",,80,50,0,0,"electronic blips","0x00D2-bttf_a27.ogg"
"0x00D3",,80,50,0,0,"up down","0x00D3-bttf_a27.ogg"
"0x00D4",,80,50,0,0,"lightning zips","0x0043-thunder2.ogg"
"0x00D5",,80,50,0,0,"zip down","0x00B9-bttf_a27.ogg"
"0x00D6",,80,50,0,0,"power down 1","0x00D6-bttf_a27.ogg"
"0x00D7",,80,50,0,0,"power down 2","0x00D7-bttf_a27.ogg"
"0x00D8",,80,50,0,0,"power down 3","0x00D8-bttf_a27.ogg"
"0x00D9",,80,50,0,0,"power down 4","0x00D9-bttf_a27.ogg"
"0x00DA",,80,50,0,0,"power down 5","0x00DA-bttf_a27.ogg"
"0x00DB",,80,50,0,0,"power down 6","0x00DB-bttf_a27.ogg"
"0x00DC",,80,50,0,0,"power down 7","0x00DC-bttf_a27.ogg"
"0x00DD",,80,50,0,0,"quiet zling","0x00DD-bttf_a27.ogg"
"0x00DE",,80,50,0,0,"bling","0x00DE-bttf_a27.ogg"
"0x00DF",,80,50,0,0,"choo choo 1","0x00DF-bttf_a27.ogg"
"0x00E0",,80,50,0,0,"choo choo 2","0x00E0-bttf_a27.ogg"
